20250319 090100,19717,19721.75,19714.5,19714.5,191
20250319 090200,19714.25,19714.25,19709.5,19711.25,91
20250319 090300,19710.5,19720.5,19710,19713.5,94
20250319 090400,19713.75,19724,19712.75,19717.5,155
20250319 090500,19716.5,19724.25,19713.5,19722.25,145
20250319 090600,19722.75,19724.75,19717.25,19722.5,136
20250319 090700,19723,19731.75,19721.75,19726.75,161
20250319 090800,19726.75,19733.25,19726.25,19726.25,175
20250319 090900,19727.25,19732,19724.25,19732,93
20250319 091000,19731.25,19733,19729.75,19731.25,87
20250319 091100,19731,19738,19725.5,19726.75,230
20250319 091200,19726.25,19726.25,19713.5,19715.75,160
20250319 091300,19716.25,19718.5,19709.5,19709.5,172
20250319 091400,19710,19713,19705.75,19707,137
20250319 091500,19705.75,19710.75,19705.5,19706.25,114
20250319 091600,19707.25,19715.25,19707.25,19708.75,53
20250319 091700,19709.75,19716.25,19709.75,19713.25,49
20250319 091800,19713.5,19716.5,19707.75,19714.75,238
20250319 091900,19714.75,19718.75,19712.25,19714.75,159
20250319 092000,19714.25,19720.5,19714.25,19718,76
20250319 092100,19718.25,19724,19716.75,19724,101
20250319 092200,19724,19725.5,19718.75,19721.75,146
20250319 092300,19720.5,19725.5,19717.5,19723,94
20250319 092400,19724,19731.5,19722.75,19730,142
20250319 092500,19729,19737.5,19728.75,19737.5,138
20250319 092600,19737,19740.5,19733,19738.25,109
20250319 092700,19737,19738.75,19734.5,19738.75,49
20250319 092800,19740,19743.5,19735.5,19741.5,121
20250319 092900,19741.75,19745.25,19740,19741.5,101
20250319 093000,19741.5,19742,19737.75,19738.5,81
20250319 093100,19739,19749,19736.75,19749,159
20250319 093200,19748.5,19756,19748.5,19753.5,243
20250319 093300,19753.5,19756.5,19751,19751.25,122
20250319 093400,19751,19751,19746,19748.25,129
20250319 093500,19748,19754.75,19747,19753,61
20250319 093600,19752.25,19755,19747,19753.5,95
20250319 093700,19753.5,19756.25,19751.5,19753.75,70
20250319 093800,19754,19758.75,19753.75,19755.75,116
20250319 093900,19753.75,19755.5,19751.25,19754.25,55
20250319 094000,19755,19755.5,19752.75,19754.25,23
20250319 094100,19754.5,19756.75,19747.25,19751,108
20250319 094200,19750.25,19755,19749.25,19752.5,81
20250319 094300,19752.5,19759.5,19751.75,19758,66
20250319 094400,19758,19758,19753.25,19756.25,54
20250319 094500,19755.75,19757,19750.75,19754.25,57
20250319 094600,19754.25,19757,19753.5,19753.75,59
20250319 094700,19753.75,19758.75,19752.25,19752.75,78
20250319 094800,19751.75,19753.25,19748.75,19751.75,133
20250319 094900,19751.25,19759.75,19750.25,19759.25,90
20250319 095000,19759.25,19759.25,19756,19757,52
20250319 095100,19757.75,19760.75,19755,19758,114
20250319 095200,19757.75,19762.75,19755.5,19762.5,214
20250319 095300,19762,19764.25,19759.5,19761,194
20250319 095400,19760.75,19766.25,19758,19765.5,202
20250319 095500,19765.5,19765.5,19760,19760,78
20250319 095600,19759,19760,19755.75,19757.5,50
20250319 095700,19757.25,19767,19757,19763.5,187
20250319 095800,19763.25,19766.75,19757.75,19759,150
20250319 095900,19758.75,19765.5,19758,19764.25,99
20250319 100000,19763,19771.5,19762.5,19767,222
20250319 100100,19767.5,19775,19766.5,19774.25,224
20250319 100200,19774.5,19779.75,19773.25,19779,167
20250319 100300,19778.5,19781.5,19776.25,19779.75,209
20250319 100400,19780.25,19782.75,19777.25,19778.5,200
20250319 100500,19778.25,19778.25,19774,19776.5,148
20250319 100600,19776.25,19779.75,19766.5,19767.75,269
20250319 100700,19768.25,19774.25,19763.5,19772.25,259
20250319 100800,19773.5,19773.5,19767,19770.5,80
20250319 100900,19771,19771,19763.75,19765.25,111
20250319 101000,19766,19769,19762,19768,240
20250319 101100,19769,19773.25,19768,19769,139
20250319 101200,19769.75,19773.25,19765.75,19767,116
20250319 101300,19766.75,19773,19766.75,19770,128
20250319 101400,19770,19774,19767.5,19771.5,176
20250319 101500,19771,19772.75,19768,19772,65
20250319 101600,19774,19774.25,19763.5,19763.75,90
20250319 101700,19765,19770,19761,19769.25,157
20250319 101800,19768.75,19770.5,19766.25,19770,49
20250319 101900,19770.75,19770.75,19766.75,19770,32
20250319 102000,19769.75,19770.75,19765.5,19767.5,60
20250319 102100,19768.5,19771.5,19768.5,19769,31
20250319 102200,19769,19770,19766.25,19768.25,39
20250319 102300,19769,19770.25,19765,19765,26
20250319 102400,19767,19767.5,19762.5,19765.25,38
20250319 102500,19764.75,19767.5,19757.75,19761.25,132
20250319 102600,19760.5,19762.75,19758.25,19758.25,52
20250319 102700,19758,19769.25,19758,19769.25,83
20250319 102800,19768.5,19770.5,19765.25,19770.5,59
20250319 102900,19770.25,19773,19770.25,19772.5,55
20250319 103000,19772,19773.25,19769.25,19773,77
20250319 103100,19773.5,19785,19773.5,19782.25,261
20250319 103200,19782,19785,19779.25,19781.5,115
20250319 103300,19781.5,19781.5,19771.5,19771.5,121
20250319 103400,19772.75,19775,19771.5,19773.75,71
20250319 103500,19773,19776,19769.5,19769.5,138
20250319 103600,19770,19775.25,19767,19772.5,240
20250319 103700,19772.5,19774.5,19769,19771.75,169
20250319 103800,19773,19773,19765,19766.75,90
20250319 103900,19767.5,19769,19763.25,19767,96
20250319 104000,19767.25,19767.25,19760.75,19761.75,130
20250319 104100,19763.25,19763.25,19758.5,19759,77
20250319 104200,19758.5,19764.25,19758,19758.25,122
20250319 104300,19758,19762.5,19756,19759.75,96
20250319 104400,19759.25,19764,19756.75,19758,111
20250319 104500,19758.5,19764.75,19758,19760.75,139
20250319 104600,19761,19761.5,19754,19757.75,68
20250319 104700,19757.75,19764,19757.25,19764,82
20250319 104800,19764,19764.5,19759,19762,31
20250319 104900,19760.75,19762.5,19759.75,19760.5,31
